"","PlayerName","Season","PuttingAverage","DrivingDistance","DrivingAccuracy","ScoringAvg","Scrambling","OnePutts","TwoPutts","ThreePutts","AvgOfficialWGR","ProximityToHole","GreensFringeInReg","SandSave","OfficialMoney"
"141","Alex Cejka",2010,1.8,277.4,70.31,71.31,25.71,506,851,46,1,399,74.61,44.17,904253
"142","Ben Curtis",2010,1.8,275.5,70.07,70.97,32.35,518,840,37,1.06,416,76.82,54.87,812136
"143","Bob Estes",2010,1.8,283.9,61.41,70.75,37.84,531,838,41,0.65,406,79.79,46.46,701158
"144","Rod Pampling",2010,1.8,283.5,65.45,71.18,29.87,505,835,32,0.54,445,75.32,46.03,299263
"145","Jay Williamson",2010,1.8,285.1,69.87,70.62,20.75,442,724,42,0.21,369,75.19,55,404497
"146","Brett Wetterich",2010,1.801,307.3,57.82,70.44,26.83,345,590,28,0.3,411,79.13,46.34,510672
"147","Heath Slocum",2010,1.802,278.9,72.42,70.54,30.77,622,974,59,2.37,393,75.63,50,2387686
"148","Nicholas Thompson",2010,1.803,289.2,64.04,71.41,25.37,528,902,67,0.33,439,76.34,40.94,546475
"149","Henrik Bjornstad",2010,1.804,288.1,64.74,71.28,23.44,400,734,42,0.23,433,78.82,36.94,215912
"150","Ian Poulter",2010,1.804,286.8,62.72,71.53,23.68,344,503,22,5.73,448,72.12,54.63,2079663
"151","Vance Veazey",2010,1.804,284.3,55.88,72.22,20.48,355,537,35,0.15,435,76.98,33.78,111369
"152","Chris Stroud",2010,1.805,287.2,62.98,70.67,24.64,535,867,56,0.66,414,80.22,50.38,942082
"153","Charles Warren",2010,1.805,302.5,65.93,70.53,36.73,379,612,51,0.43,406,82.77,46.48,574615
"154","Mark Wilson",2010,1.805,280.6,68.85,70.63,28.05,537,894,47,0.8,434,78.82,57.94,789681
"155","Briny Baird",2010,1.807,282,65.45,70.26,30,544,894,43,0.59,403,80.29,60,753577
"156","Cameron Beckman",2010,1.807,285.7,63.72,71.06,24.62,421,670,42,0.73,408,76.1,50,1158485
"157","Will MacKenzie",2010,1.807,290.8,66.33,70.72,29.51,470,759,48,0.44,416,77.93,44.55,557504
"158","D.A. Points",2010,1.808,283,64.52,70.79,26.19,573,965,58,0.87,425,76.33,45.45,975433
"159","Sergio Garcia",2010,1.809,292.7,63.75,71.54,34.38,330,555,38,1.87,417,76.61,36.49,936845
"160","Andrew McLardy",2010,1.809,289.9,61.43,71.85,19.61,308,521,25,0.08,418,79.56,41.67,53106
"161","Greg Owen",2010,1.809,291.4,61.46,71.45,15.52,432,754,43,0.21,417,80.34,44.66,268835
"162","Jarrod Lyle",2010,1.81,296.2,63.4,70.7,36.54,319,475,24,0.52,437,78.13,49.33,422760
"163","Jason Dufner",2010,1.812,281.9,69.24,71.22,29.63,580,906,62,1.62,415,74.7,47.1,1121695
"164","John Senden",2010,1.812,290.2,67.22,70.38,24.05,619,NA,59,1.74,409,80.52,54.4,1274057
"165","Chris Wilson",2010,1.813,291.7,59.93,72.2,25.86,392,604,48,NA,439,74.19,38.39,76481
"166","Brent Delahoussaye",2010,1.814,275.6,67.28,71.54,28.57,324,560,22,NA,405,76.1,40.51,69708
"167","Graham DeLaet",2010,1.815,305.7,64.74,70.1,34.29,538,852,72,0.9,413,80.41,45.69,954011
"168","Cliff Kresge",2010,1.815,283.2,68.59,71.04,22.22,293,502,24,0.14,384,74.49,50,199584
"169","Davis Love III",2010,1.815,297.7,64.2,70.81,23.64,478,862,61,1.38,400,77.95,36.94,1214471
"170","Sean O'Hair",2010,1.817,289.3,63.98,70.79,40.38,541,865,55,3,423,77.27,48.18,1859039
"171","Boo Weekley",2010,1.817,291.9,67.14,70.48,40.98,510,866,50,0.77,399,78.4,45.6,872729
"172","Cameron Percy",2010,1.818,294,58.93,71,22.64,426,738,49,0.74,412,78.79,36.36,620262
"173","Bill Lunde",2010,1.819,288.9,60.71,71.37,24.49,500,789,49,0.72,426,76.9,48.6,1075874
